"campeon","nombre","pasiva","asignacionDeTecla","descripcion","linkVideo"
"ASHE","FLECHA DE CRISTAL ENCANTADA","false","R","Ashe dispara un proyectil de hielo en línea recta. Si la flecha impacta contra un campeón enemigo, le inflige daño y aturde según la distancia que haya recorrido la flecha. Además, las unidades enemigas circundantes reciben daño y se ralentizan.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0022/ability_0022_R1.mp4"
"AURELION SOL","CREADOR CÓSMICO","true","p","Las habilidades de daño de Aurelion Sol cosechan acumulaciones de polvo estelar de sus enemigos, lo que mejora permanentemente cada habilidad.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0136/ability_0136_P1.mp4"
"AURELION SOL","EL ALIENTO DE LOS DIOSES","false","Q","Aurelion Sol canaliza su aliento de dragón durante unos segundos, lo que inflige daño al primer enemigo golpeado y daño reducido a los enemigos cercanos. Cada segundo que el aliento se canalice directamente a un enemigo, infligirá daño adicional, que mejora según la cantidad de polvo estelar conseguido. Esta habilidad otorga polvo estelar si el objetivo es un campeón.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0136/ability_0136_Q1.mp4"
"AURELION SOL","VUELO ASTRAL","false","W","Aurelion Sol sobrevuela el terreno en la dirección indicada. En este estado, puede lanzar otras habilidades. El aliento de los dioses ya no tiene enfriamiento, la puede canalizar sin límite de tiempo e inflige daño adicional mientras vuela. El enfriamiento restante de Vuelo astral se reduce cada vez que muere un campeón tras recibir daño de Aurelion Sol. El polvo estelar aumenta el alcance máximo de Vuelo astral.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0136/ability_0136_W1.mp4"
"AURELION SOL","SINGULARIDAD","false","E","Aurelion Sol invoca un agujero negro, lo que inflige daño a los enemigos y los atrae lentamente hacia su centro. Esta habilidad otorga polvo estelar cada vez que muere un enemigo en el agujero negro y por cada segundo que haya un campeón enemigo en su interior. El centro del agujero negro ejecuta a los enemigos que estén por debajo de cierto porcentaje de su vida máxima. El polvo estelar aumenta la zona de Singularidad y el umbral de ejecución.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0136/ability_0136_E1.mp4"
"AURELION SOL","ESTRELLA FUGAZ / OCASO CELESTE","false","R","Estrella fugaz: Aurelion Sol provoca que una estrella se estampe contra el suelo. Este impacto inflige daño mágico y aturde a los enemigos. Además, otorga polvo estelar por cada campeón golpeado. Al acumular suficiente Polvo estelar, Estrella fugaz se transformará en Ocaso celeste la próxima vez que se utilice. Ocaso celeste: Aurelion Sol lanza una gigantesca estrella con un área de impacto aumentado, potencia el daño infligido y lanza a los enemigos por los aires, en lugar de aturdirlos. Después, emite una enorme onda de choque desde los bordes del área de impacto, lo que inflige daño y ralentiza a los campeones golpeados. El polvo estelar aumenta el área de impacto de Estrella fugaz y Ocaso celeste.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0136/ability_0136_R1.mp4"
"AZIR","LEGADO DE SHURIMA","true","p","Azir puede invocar el Disco solar sobre las ruinas de una torreta aliada o enemiga.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0268/ability_0268_P1.mp4"
"AZIR","ARENAS CONQUISTADORAS","false","Q","Azir envía a todos los soldados de arena hacia un punto. Los soldados de arena infligen daño mágico a los enemigos que atraviesan y además aplican un efecto de ralentización durante 1 s.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0268/ability_0268_Q1.mp4"
"AZIR","¡ALZAOS!","false","W","Azir invoca a un soldado de arena para que ataque a los objetivos cercanos por él. El ataque básico de estos soldados reemplaza el suyo contra todos los enemigos que estén a su alcance. Su ataque inflige daño mágico a todos los enemigos situados en una línea. Además, ¡Alzaos! otorga velocidad de ataque de manera pasiva a Azir y a sus soldados de arena.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0268/ability_0268_W1.mp4"
"AZIR","ARENAS MOVEDIZAS","false","E","Azir se protege con un escudo durante unos instantes, se desliza hacia uno de sus soldados de arena y daña a los enemigos en su movimiento. Si golpea a un campeón enemigo, prepara inmediatamente un nuevo soldado de arena y detiene su deslizamiento.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0268/ability_0268_E1.mp4"
"AZIR","FALANGE IMPERIAL","false","R","Azir invoca un muro de soldados que, con una carga hacia delante, infligen daño y derriban al enemigo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0268/ability_0268_R1.mp4"
"BARDO","LLAMADA DEL VIAJERO","true","p","Meeps: Bardo atrae a unos espíritus menores que aumentan la potencia de sus ataques básicos para infligir daño mágico adicional. Cuando Bardo haya recogido suficientes campanas, sus meeps también infligirán daño en área y ralentizarán a los enemigos golpeados. Campanas: Aparecen campanas antiguas al azar que Bardo puede recoger. Otorgan experiencia, restauran maná y otorgan velocidad de movimiento fuera de combate.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0432/ability_0432_P1.mp4"
"BARDO","CADENAS CÓSMICAS","false","Q","Bardo dispara un proyectil que ralentiza al primer enemigo alcanzado, antes de seguir su trayectoria. A partir de ahí, si golpea un muro, el objetivo inicial queda aturdido. Si golpea a otro enemigo, los dos sufren el efecto.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0432/ability_0432_Q1.mp4"
"BARDO","SANTUARIO DEL PROTECTOR","false","W","Hace aparecer un santuario de vida. El santuario, que tarda unos segundos en cargarse a plena potencia, desaparece después de curar y aumentar la velocidad al primer aliado que lo toca.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0432/ability_0432_W1.mp4"
"BARDO","PERIPLO MÁGICO","false","E","Bardo abre un portal en un obstáculo del terreno cercano. Tanto sus aliados como sus enemigos pueden atravesarlo para cruzar al otro lado, pero solo funciona en un sentido.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0432/ability_0432_E1.mp4"
"BARDO","DESTINO MALEABLE","false","R","Bardo lanza su energía espiritual a un objetivo, dejando en estasis a todas las unidades y torretas de la zona durante breve tiempo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0432/ability_0432_R1.mp4"
"BEL'VETH","MUERTE EN LAVANDA","true","p","Bel'Veth obtiene acumulaciones permanentes de velocidad de ataque tras acabar con súbditos grandes, monstruos gigantes y campeones. También obtiene velocidad de ataque adicional de forma temporal tras usar una habilidad.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0200/ability_0200_P1.mp4"
"BEL'VETH","OLEADA DEL VACÍO","false","Q","Bel'Veth se desliza en la dirección elegida y daña a todos los enemigos a los que atraviesa.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0200/ability_0200_Q1.mp4"
"BEL'VETH","ARRIBA Y ABAJO","false","W","Bel'Veth golpea el suelo, lo que inflige daño, lanza por los aires y ralentiza a sus enemigos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0200/ability_0200_W1.mp4"
"BEL'VETH","VORÁGINE REAL","false","E","Bel'Veth se queda inmóvil y canaliza una tormenta de cortes a su alrededor que selecciona como objetivo al enemigo con menos vida. Además, le otorga robo de vida y reducción de daño.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0200/ability_0200_E1.mp4"
"BEL'VETH","BANQUETE INFINITO","false","R","Bel'Veth consume restos de coral del Vacío, adopta su verdadera forma y aumenta su vida máxima, alcance de ataque, velocidad de ataque y velocidad de movimiento fuera de combate. Consumir restos de coral del Vacío de un monstruo épico del Vacío le otorgará más duración de la definitiva, además de poder invocar rémoras del Vacío.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0200/ability_0200_R1.mp4"
"BLITZCRANK","BARRERA DE MANÁ","true","p","Cuando le queda poca vida, Blitzcrank obtiene un escudo en función de su maná.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0053/ability_0053_P1.mp4"
"BLITZCRANK","AGARRE MISIL","false","Q","Blitzcrank dispara su mano derecha para apresar a un rival que encuentre en su camino, le inflige daño y lo atrae hacia él.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0053/ability_0053_Q1.mp4"
"BLITZCRANK","SOBRECARGA","false","W","Blitzcrank se sobrecarga para aumentar drásticamente su velocidad de movimiento y su velocidad de ataque. Se ve ralentizado temporalmente cuando termina el efecto.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0053/ability_0053_W1.mp4"
"BLITZCRANK","PUÑO DE PODER","false","E","Blitzcrank carga su puño para que su siguiente ataque cause el doble de daño y lance al objetivo por los aires.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0053/ability_0053_E1.mp4"
"BLITZCRANK","CAMPO ESTÁTICO","false","R","Los enemigos a los que Blitzcrank ataca quedan marcados y reciben una descarga eléctrica después de 1 s. Además, Blitzcrank puede activar esta habilidad para eliminar los escudos de los enemigos cercanos, infligirles daño y silenciarlos durante un breve periodo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0053/ability_0053_R1.mp4"
"BRAND","NUBE DE FUEGO","true","p","Los hechizos de Brand prenden fuego a sus objetivos, lo que inflige daño durante 4 s. Puede acumularse hasta 3 veces. Si Brand asesina a un enemigo que esté en llamas, recupera maná. Cuando Nube de fuego alcanza el máximo de acumulaciones en un campeón o monstruo gigante, se vuelve inestable. Explota al cabo de 2 s, aplica efectos de hechizo e inflige una gran cantidad de daño en la zona que rodea a la víctima.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0063/ability_0063_P1.mp4"
"BRAND","ABRASAR","false","Q","Brand lanza una bola de fuego que inflige daño mágico. Si el objetivo está en llamas, Abrasar lo dejará aturdido durante 1,5 s.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0063/ability_0063_Q1.mp4"
"BRAND","PILAR DE LLAMAS","false","W","Tras un breve retardo, Brand crea un Pilar de llamas en la ubicación del objetivo que inflige daño mágico a las unidades enemigas dentro de la misma. Las unidades que estén en llamas recibirán un 25% de daño adicional.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0063/ability_0063_W1.mp4"
"BRAND","INCENDIO","false","E","Brand lanza un ataque poderoso a su objetivo que se extiende a los enemigos cercanos e inflige daño mágico. Si el objetivo está en llamas, se duplica la propagación de Incendio.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0063/ability_0063_E1.mp4"
"BRAND","DETONACIÓN ÍGNEA","false","R","Brand libera un torrente de fuego devastador que rebota hasta 5 veces entre Brand y los enemigos cercanos, e inflige daño mágico a los enemigos cada vez que rebota. Estos rebotes priorizan acumular al máximo Nube de fuego en los campeones. Si un objetivo está en llamas, Detonación ígnea lo ralentizará brevemente.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0063/ability_0063_R1.mp4"
"BRAUM","GOLPES CONMOCIONANTES","true","p","Los ataques básicos de Braum aplican Golpes conmocionantes. Cuando se aplique la primera acumulación, los ataques básicos de los aliados también acumulan Golpes conmocionantes. Al llegar a 4 acumulaciones, el objetivo queda aturdido y recibe daño mágico. Durante los siguientes segundos no puede recibir acumulaciones, pero recibe daño mágico adicional de los ataques de Braum.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0201/ability_0201_P1.mp4"
"BRAUM","MORDISCO INVERNAL","false","Q","Braum lanza un chorro de gélido hielo desde el escudo que ralentiza y causa daño mágico. Aplica una acumulación de Golpes conmocionantes.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0201/ability_0201_Q1.mp4"
"BRAUM","DETRÁS DE MÍ","false","W","Braum salta hacia un campeón o súbdito aliado. Al alcanzarlo, ambos obtienen armadura y resistencia mágica durante unos segundos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0201/ability_0201_W1.mp4"
"BRAUM","INQUEBRANTABLE","false","E","Braum alza su escudo en una dirección durante varios segundos e intercepta todos los proyectiles, que lo golpean y son destruidos. Anula por completo el daño del primero y reduce el de los siguientes que llegan desde la misma dirección.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0201/ability_0201_E1.mp4"
"BRAUM","FISURA GLACIAL","false","R","Braum golpea el suelo y lanza por los aires a los enemigos cercanos y situados en una línea delante de él. A lo largo de esta línea se abre una fisura que ralentiza a los enemigos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0201/ability_0201_R1.mp4"
"BRIAR","MALDICIÓN CARMESÍ","true","p","Los ataques y habilidades de Briar aplican acumulaciones de sangrado, lo que la cura parte del daño que infligen. Dominada por un hambre insaciable, obtiene curación adicional según la vida que le falte, pero no cuenta con regeneración de vida de forma innata.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0233/ability_0233_P1.mp4"
"BRIAR","A LA YUGULAR","false","Q","Briar se lanza contra una unidad y golpea a los enemigos con una patada voladora (de la muerte), los aturde y destroza su armadura.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0233/ability_0233_Q1.mp4"
"BRIAR","FRENESÍ SANGUINARIO / OTRO MORDISQUITO","false","W","Briar se lanza hacia delante y destruye su picota, lo que la hace entrar en Frenesí sanguinario y perseguir sin descanso al enemigo más cercano (priorizando a los campeones). Mientras se encuentra en este estado, obtiene velocidad de ataque y de movimiento adicionales, y sus ataques infligen daño en área en torno a su objetivo. Briar puede reactivar esta habilidad durante el frenesí para darle un mordisco a su objetivo con su próximo ataque, lo que inflige daño adicional en base a la vida que le falte a la unidad y cura a Briar según el daño que inflija.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0233/ability_0233_W1.mp4"
